seed,n_sources,n_cleared,clear_ratio,virtual_time_s,avg_locate_clear_time_s,real_elapsed_s,program_run_time_s,n_measure,n_clear_ok,n_clear_fail,n_switch,n_actions,n_requests,census_points_visited,ended_reason,unresolved,proven_empty,action_log_size,wall_s
36,12,12,1.0,8178.522803079009,681.5435669232508,0.046999999998661224,0.046999999998661224,503,12,0,500,515,517,25,user_exit,,1 3 4 8 13 16 19 20,517,0.046999999998661224
37,11,11,1.0,9092.587767366807,826.598887942437,0.031000000000858563,0.031000000000858563,517,11,0,501,528,530,25,user_exit,,2 3 9 11 13 15 17 18 20,530,0.031000000000858563
38,11,11,1.0,7873.238942531415,715.7489947755831,0.0319999999992433,0.0319999999992433,500,11,0,499,511,513,25,user_exit,,7 9 10 12 13 14 15 18 20,513,0.0319999999992433
39,16,16,1.0,9318.500453050376,582.4062783156485,0.04700000000048021,0.04700000000048021,509,16,0,502,525,527,25,user_exit,,1 14 19 20,527,0.04700000000048021
40,13,13,1.0,8157.731088724601,627.5177760557385,0.046000000000276486,0.046000000000276486,505,13,0,501,518,520,25,user_exit,,3 4 9 11 15 18 20,520,0.046000000000276486
41,14,14,1.0,8716.239688114572,622.5885491510409,0.031000000000858563,0.031000000000858563,505,14,0,502,519,521,25,user_exit,,1 12 14 15 16 20,521,0.031000000000858563
42,10,10,1.0,8294.84610992882,829.4846109928819,0.030999999999039574,0.030999999999039574,504,10,0,501,514,516,25,user_exit,,1 3 5 10 14 15 16 17 18 20,516,0.046999999998661224
43,13,13,1.0,9133.673312678384,702.5902548214142,0.031000000000858563,0.031000000000858563,502,13,0,500,515,517,25,user_exit,,2 3 8 9 11 18 20,517,0.031000000000858563
44,14,14,1.0,8583.73172981838,613.1236949870272,0.0319999999992433,0.0319999999992433,503,14,0,501,517,519,25,user_exit,,6 9 11 12 14 19,519,0.0319999999992433
45,16,16,1.0,8983.350570582033,561.4594106613771,0.0319999999992433,0.0319999999992433,502,16,0,500,518,520,25,user_exit,,1 2 11 17,520,0.0319999999992433
46,13,13,1.0,8614.453588219736,662.6502760169028,0.046000000000276486,0.046000000000276486,500,13,0,499,513,515,25,user_exit,,5 6 10 11 12 16 17,515,0.046000000000276486
47,10,10,1.0,8383.711121489187,838.3711121489187,0.0319999999992433,0.0319999999992433,516,10,0,502,526,528,25,user_exit,,1 3 4 5 6 11 12 13 16 20,528,0.0319999999992433
48,10,10,1.0,8618.769512690582,861.8769512690582,0.04700000000048021,0.04700000000048021,514,10,0,504,524,526,25,user_exit,,2 3 4 7 9 11 14 16 19 20,526,0.04700000000048021
49,10,10,1.0,8408.27105057437,840.827105057437,0.031000000000858563,0.031000000000858563,500,10,0,499,510,512,25,user_exit,,2 3 5 7 10 14 15 16 19 20,512,0.031000000000858563
50,15,15,1.0,9954.394548238071,663.6263032158714,0.046999999998661224,0.046999999998661224,531,15,0,504,546,548,25,user_exit,,1 9 13 14 18,548,0.046999999998661224
51,12,12,1.0,8665.721747781869,722.1434789818223,0.04700000000048021,0.04700000000048021,505,12,0,501,517,519,25,user_exit,,1 2 3 6 7 11 12 20,519,0.04700000000048021
52,16,16,1.0,8820.283947936643,551.2677467460402,0.046000000000276486,0.046000000000276486,512,16,0,503,528,530,25,user_exit,,3 11 17 20,530,0.046000000000276486
53,15,15,1.0,8747.038580842482,583.1359053894988,0.04700000000048021,0.04700000000048021,507,15,0,501,522,524,25,user_exit,,3 7 9 10 20,524,0.04700000000048021
54,12,12,1.0,8587.287405579007,715.6072837982506,0.0319999999992433,0.0319999999992433,500,12,0,499,512,514,25,user_exit,,1 5 8 10 11 14 15 16,514,0.0319999999992433
55,16,16,1.0,8572.847778722793,535.8029861701746,0.06199999999989814,0.06199999999989814,513,16,0,502,529,531,25,user_exit,,1 4 10 11,531,0.06199999999989814
56,12,12,1.0,8188.845544719855,682.4037953933213,0.031000000000858563,0.031000000000858563,502,12,0,500,514,516,25,user_exit,,2 3 8 14 15 17 18 19,516,0.031000000000858563
57,10,10,1.0,8279.967000229031,827.9967000229032,0.0319999999992433,0.0319999999992433,502,10,0,500,512,514,25,user_exit,,1 2 3 4 9 11 12 14 17 18,514,0.0319999999992433
58,13,13,1.0,9032.896864745411,694.8382203650316,0.046000000000276486,0.046000000000276486,514,13,0,504,527,529,25,user_exit,,1 2 4 5 8 15 20,529,0.046000000000276486
59,15,15,1.0,8488.505174699892,565.9003449799928,0.04700000000048021,0.04700000000048021,510,15,0,502,525,527,25,user_exit,,8 10 12 14 15,527,0.04700000000048021
60,11,11,1.0,8126.078387017961,738.7343988198146,0.046999999998661224,0.046999999998661224,503,11,0,502,514,516,25,user_exit,,2 3 6 7 8 9 10 11 20,516,0.046999999998661224
