config,n,err_p50,err_p90,err_p99,err_max,frac_le_1deg,frac_gt_5deg,frac_gt_20deg,frac_gt_45deg
"LOS only, SNR 20 dB",4000,0.09169816000820674,0.22336333184215107,0.34280107790092185,0.4679814915379552,1.0,0.0,0.0,0.0
"LOS only, SNR 12 dB",4000,0.22345864066508625,0.5480606883256001,0.8537976878378837,1.166123102696389,0.998,0.0,0.0,0.0
"1 multipath, SNR 12 dB",4000,4.631829461935183,12.175886865385356,18.850457932996072,22.153944549227532,0.15025,0.47275,0.00425,0.0
"2 multipath, SNR 12 dB",4000,6.899655060646424,17.85341449539584,52.05657566247102,72.62227269753114,0.07825,0.6245,0.0735,0.0125
"3 multipath, SNR 12 dB",4000,10.489912942668184,30.482262662640913,52.132981612779815,63.53919760125689,0.05075,0.74975,0.23925,0.02875
