seed,k,oracle_tour_m,oracle_time_s,ours_time_s,ours_cleared,ratio,tsp_bound_s
1,13,9852.871652241882,2035.5743304483763,4677.6224661082115,13,2.2979374401316366,2035.5743304483763
2,15,9339.054575184895,1942.810915036979,4632.703373459522,15,2.384536414533858,1942.810915036979
3,15,10627.113003347305,2200.422600669461,4697.211994439334,15,2.1346863066259383,2200.422600669461
4,15,8529.66033776931,1780.932067553862,4484.14726911141,15,2.517865420476401,1780.932067553862
5,14,10086.504691962426,2087.300938392485,4830.501371975044,14,2.31423331591812,2087.300938392485
6,13,7565.444970990105,1578.0889941980208,4348.221820864435,13,2.7553717419302997,1578.0889941980208
7,16,12197.965263878352,2519.5930527756705,5264.415501840157,16,2.0893911800719946,2519.5930527756705
8,15,8453.670941645869,1765.7341883291738,4378.624446495175,15,2.4797755378109594,1765.7341883291738
9,12,8827.612064548463,1825.5224129096925,4399.3629619871745,12,2.4099199937923785,1825.5224129096925
10,15,10951.838911927802,2265.3677823855605,4832.029098926053,15,2.1329998318584953,2265.3677823855605
11,10,6996.22890114719,1449.245780229438,3845.4044466055116,10,2.6533832280655147,1449.245780229438
12,14,10532.181096141938,2176.4362192283875,4914.088047342083,14,2.2578598922068465,2176.4362192283875
13,16,10877.337621078164,2255.4675242156327,5480.724724384148,16,2.4299727952368277,2255.4675242156327
14,11,8003.684415210682,1655.7368830421365,4371.680419243319,11,2.6403231479696796,1655.7368830421365
15,16,10044.692813496797,2088.9385626993594,5049.636744529708,16,2.4173218086435666,2088.9385626993594
16,13,9964.793615382012,2057.9587230764023,4713.83456910235,13,2.2905389288157005,2057.9587230764023
17,15,8447.939010380827,1764.5878020761654,4435.0541073732575,15,2.513365502218192,1764.5878020761654
18,16,10886.106989803267,2257.2213979606536,4979.564349016981,16,2.206059340707961,2257.2213979606536
19,14,7307.184427443578,1531.4368854887157,4412.099232935891,14,2.881019305949322,1531.4368854887157
20,16,9220.600917943348,1924.1201835886695,4467.694983223691,16,2.3219417484052425,1924.1201835886695
21,12,9724.52026390742,2004.9040527814839,4317.157603939641,12,2.1532988563469035,2004.9040527814839
22,15,9981.245415729702,2071.2490831459404,5089.332334686446,15,2.4571319674196093,2071.2490831459404
23,10,7785.8916303971655,1607.1783260794332,4104.031488981056,10,2.5535632371253234,1607.1783260794332
24,12,10083.12702845197,2076.625405690394,4833.816555104832,12,2.327726773379132,2076.625405690394
25,13,8884.662754231598,1841.9325508463196,4392.250516996227,13,2.3845881408513594,1841.9325508463196
26,16,9800.617025238456,2040.1234050476912,5080.534600805711,16,2.4903074922994404,2040.1234050476912
27,10,7662.240801884911,1582.4481603769823,4187.030488884093,10,2.645919527554462,1582.4481603769823
28,14,10274.846112538535,2124.969222507707,5096.291646848714,14,2.3982896283243607,2124.969222507707
29,16,11150.199723568856,2310.039944713771,4998.990609267797,16,2.16402777826736,2310.039944713771
30,10,6582.102586378163,1366.4205172756326,3801.422071105155,10,2.7820294141106903,1366.4205172756326
31,13,8503.504441194145,1765.700888238829,4421.854577371233,13,2.504305574531224,1765.700888238829
32,16,11197.592882579687,2319.5185765159376,5226.606455324402,16,2.2533151957657926,2319.5185765159376
33,16,10040.937873618022,2088.1875747236045,4910.870418025457,16,2.3517381663739987,2088.1875747236045
34,10,7279.717935841689,1505.9435871683377,3935.016511592218,10,2.612990649265505,1505.9435871683377
35,10,5340.419648913077,1118.0839297826155,3801.4169148226842,10,3.3999387823790457,1118.0839297826155
36,12,7072.834536813119,1474.5669073626236,4457.714642163468,12,3.0230670577955894,1474.5669073626236
37,11,8236.188730825896,1702.237746165179,4016.577546145662,11,2.3595867000330912,1702.237746165179
38,11,7025.180815681494,1460.036163136299,3893.5395473079225,11,2.6667418558621336,1460.036163136299
39,16,12283.355895899664,2536.6711791799326,5494.313774180319,16,2.1659542708079917,2536.6711791799326
40,13,6591.132257602661,1383.2264515205322,3854.9274298397277,13,2.7869098552895237,1383.2264515205322
41,14,9177.340987714928,1905.4681975429855,4747.832174210451,14,2.491687964318987,1905.4681975429855
42,10,9130.006205116966,1876.0012410233933,4236.837605167936,10,2.258440726220769,1876.0012410233933
43,13,7833.683147244347,1631.7366294488695,4105.53649184635,13,2.516053398417013,1631.7366294488695
44,14,8732.539218895847,1816.5078437791694,4380.073201328387,14,2.411260274117961,1816.5078437791694
45,16,10629.44882080194,2205.889764160388,4769.83911532703,16,2.1623198007551117,2205.889764160388
46,13,7062.5409595427145,1477.5081919085428,3863.757278118456,13,2.615049648643587,1477.5081919085428
47,10,9925.34152002827,2035.0683040056542,4548.212664455454,10,2.2349189240985874,2035.0683040056542
48,10,8133.271917290211,1676.654383458042,4103.134403763918,10,2.4472153857382013,1676.654383458042
49,10,9001.46688708193,1850.293377416386,4377.18451550154,10,2.3656705303747665,1850.293377416386
50,15,10871.962926329743,2249.3925852659486,4897.818258479667,15,2.1773959292662073,2249.3925852659486
51,12,9799.413509268119,2019.8827018536238,4736.565495057431,12,2.3449705721578473,2019.8827018536238
52,16,9219.19235927628,1923.8384718552559,4290.384633228832,16,2.2301168710340815,1923.8384718552559
53,15,10123.699127499367,2099.7398254998734,5092.741334880241,15,2.425415412439415,2099.7398254998734
54,12,8009.194127607725,1661.838825521545,4217.819849463451,12,2.5380438732617447,1661.838825521545
55,16,9223.946383026489,1924.7892766052978,4441.595631268499,16,2.307575008471592,1924.7892766052978
56,12,10538.386121122285,2167.677224224457,4458.311196121707,12,2.0567228120029655,2167.677224224457
57,10,10781.071757588881,2206.2143515177763,4562.533340337873,10,2.06803719556944,2206.2143515177763
58,13,8414.905050501742,1747.9810101003484,4143.052234647454,13,2.370192931563718,1747.9810101003484
59,15,9860.393788872327,2047.0787577744654,4573.021151917449,15,2.2339253604922984,2047.0787577744654
60,11,7163.229150880436,1487.6458301760872,4007.394611537129,11,2.693782707045795,1487.6458301760872
