variant,n,clear_ratio,certified,avg_locate_clear_time_s,avg_time_std,virtual_time_mean,actions_mean,wall_s
Full,30,1.0,1.0,342.26411827569,36.37628432347404,4637.182661519438,171.46666666666667,1.8909999999996217
P1-sequential,30,1.0,1.0,342.26411827569,36.37628432347404,4637.182661519438,171.46666666666667,1.6559999999990396
P2-random,30,1.0,1.0,420.2705776070469,54.436891271318345,5672.368879916247,171.2,1.5940000000009604
P3-roundrobin,30,1.0,1.0,527.2989870247837,45.679779822787594,7218.81918233978,176.4,1.6719999999986612
P4-uncertainty,30,1.0,1.0,527.9158447560203,62.16179515061239,7191.7820393201055,176.66666666666666,1.875
P5-bbox,30,1.0,1.0,340.5113912245713,36.02185784554707,4614.311007263922,171.53333333333333,1.6870000000017171
