dim,value,clear_ratio,certified,avg_time,avg_time_std,total_time,n_sources_mean
k,10,1.0,1.0,423.76042898191025,26.907519559546113,4237.604289819103,10.0
k,12,1.0,1.0,373.597106620423,25.432016842339785,4483.1652794450765,12.0
k,14,1.0,1.0,332.78392241949166,21.066450854417717,4658.974913872883,14.0
k,16,1.0,1.0,301.77860038498306,19.2907402680992,4828.457606159729,16.0
rc,fixed 1000 (最坏),1.0,1.0,353.0043150305799,31.94861356552623,4969.815444512456,14.2
rc,fixed 1500 (最好),1.0,1.0,318.1236215817905,32.19692213583366,4470.879889834096,14.2
rc,"uniform[1000,1500]",1.0,1.0,331.2474279604591,31.123356271934338,4660.731096448173,14.2
dir,0.0,1.0,1.0,331.2474279604591,31.123356271934338,4660.731096448173,14.2
dir,0.25,0.7831012737262737,0.0,409.2644285576886,60.964109745569786,4469.442819592833,14.2
dir,0.5,0.5470802114552115,0.0,557.2417077641428,54.28271345900292,4250.421699849655,14.2
dir,0.75,0.32829524642024643,0.0,889.8855948527969,267.16396885767205,3912.074000663608,14.2
dir,1.0,0.11632783882783884,0.0,2456.301560513574,1054.4843974055034,3815.8856762348614,14.2
delta,0.25,1.0,1.0,318.30587882038606,28.731932400686418,4480.789884045291,14.2
delta,0.5,1.0,1.0,320.8605635101789,29.098543332616302,4516.847421516973,14.2
delta,1.0,1.0,1.0,331.2474279604591,31.123356271934338,4660.731096448173,14.2
delta,2.0,1.0,1.0,355.4973611569615,31.078126028690566,5009.6944879836765,14.2
cell,10.0,1.0,1.0,331.2474279604591,31.123356271934338,4660.731096448173,14.2
cell,15.0,1.0,1.0,333.3127082565646,29.030894431199783,4692.490965908263,14.2
cell,20.0,1.0,1.0,337.60226477345424,29.30112576138002,4756.631489132654,14.2
cell,5.0,1.0,1.0,327.1836157131107,30.566804943121312,4605.699326357732,14.2
