variant,n,clear_ratio,certified,avg_locate_clear_time_s,avg_time_std,virtual_time_mean,actions_mean,wall_s
Full,20,1.0,1.0,634.2245828166637,73.25385046920869,8886.891738910437,529.25,1.235000000000582
P1-sequential,20,1.0,1.0,834.4364184705084,102.36975347761631,11680.001108804372,528.8,0.8590000000003783
P2-random,20,1.0,1.0,1127.5975018074425,142.03965521506058,15774.61054057896,527.7,0.8439999999973224
P3-roundrobin,20,1.0,1.0,817.4946349884797,82.22657305726473,11504.254200690671,530.65,1.014999999999418
P4-uncertainty,20,1.0,1.0,822.8428805533088,62.27567532960206,11597.144652126924,529.75,1.0790000000015425
P5-bbox,20,1.0,1.0,634.0226383568184,75.77291457100004,8879.952382485055,529.3,1.0309999999990396
