strategy,seed,error,n_sources,n_cleared,clear_ratio,virtual_time_s,avg_locate_clear_time_s,n_actions,wall_s,certified
HomingOnly,20,,16,0,0.0,60005.08084895917,nan,1084,0.13999999999941792,0
HomingOnly,21,,12,5,0.4166666666666667,58463.82740086933,11692.765480173866,3000,0.4539999999997235,0
HomingOnly,22,,15,7,0.4666666666666667,59348.82412473777,8478.40344639111,3000,0.40600000000085856,0
HomingOnly,23,,10,6,0.6,43491.88850385878,7248.648083976464,3000,0.43800000000010186,0
HomingOnly,24,,12,3,0.25,60001.95347525576,20000.651158418586,2875,0.4059999999990396,0
HomingOnly,25,,13,6,0.46153846153846156,52030.85280566809,8671.808800944682,2999,0.3899999999994179,0
HomingOnly,26,,16,10,0.625,60002.53201434217,6000.253201434217,2433,0.4069999999992433,0
HomingOnly,27,,10,6,0.6,51416.289003524376,8569.381500587397,3000,0.4530000000013388,0
HomingOnly,28,,14,2,0.14285714285714285,50947.25921237537,25473.629606187686,3000,0.3899999999994179,0
HomingOnly,29,,16,4,0.25,60098.75979622967,15024.689949057418,2928,0.4539999999997235,0
HomingOnly,30,,10,0,0.0,60001.31829765137,nan,1856,0.28100000000085856,0
Lawnmower,1,,13,8,0.6153846153846154,16418.26190727295,2052.282738409119,421,0.11000000000058208,0
Lawnmower,2,,15,8,0.5333333333333333,49017.24704918333,6127.155881147916,578,0.10899999999855936,0
Lawnmower,3,,15,7,0.4666666666666667,11445.873982070707,1635.1248545815295,549,0.14100000000144064,0
Lawnmower,4,,15,8,0.5333333333333333,42264.86026023438,5283.107532529298,617,0.13999999999941792,0
Lawnmower,5,,14,9,0.6428571428571429,20778.41791575427,2308.7131017504744,453,0.09399999999914144,0
Lawnmower,6,,13,8,0.6153846153846154,39179.872523660255,4897.484065457532,564,0.11000000000058208,0
Lawnmower,7,,16,11,0.6875,11355.337474493186,1032.3034067721078,491,0.10900000000037835,0
Lawnmower,8,,15,11,0.7333333333333333,28560.688696781137,2596.4262451619215,633,0.14099999999962165,0
Lawnmower,9,,12,4,0.3333333333333333,36903.85265193172,9225.96316298293,608,0.10900000000037835,0
Lawnmower,10,,15,8,0.5333333333333333,48921.7646966992,6115.2205870874,652,0.15599999999903957,0
Lawnmower,11,,10,4,0.4,48227.663666487555,12056.915916621889,568,0.11000000000058208,0
Lawnmower,12,,14,7,0.5,20500.273160006403,2928.610451429486,658,0.1710000000002765,0
Lawnmower,13,,16,2,0.125,60022.04587410942,30011.02293705471,737,0.14099999999962165,0
Lawnmower,14,,11,8,0.7272727272727273,9258.401123908403,1157.3001404885504,454,0.10900000000037835,0
Lawnmower,15,,16,7,0.4375,64681.78769923591,9240.255385605129,722,0.14099999999962165,0
Lawnmower,16,,13,6,0.46153846153846156,31640.80258665649,5273.467097776082,476,0.10900000000037835,0
Lawnmower,17,,15,12,0.8,10188.061183112493,849.0050985927078,440,0.11000000000058208,0
Lawnmower,18,,16,6,0.375,53195.691736121815,8865.948622686969,805,0.18699999999989814,0
Lawnmower,19,,14,7,0.5,51306.643043601995,7329.520434800285,540,0.10999999999876309,0
Lawnmower,20,,16,7,0.4375,47113.80790272569,6730.54398610367,595,0.09399999999914144,0
Lawnmower,21,,12,7,0.5833333333333334,24654.603821282974,3522.086260183282,500,0.10900000000037835,0
Lawnmower,22,,15,7,0.4666666666666667,40713.17618258295,5816.168026083279,565,0.14099999999962165,0
Lawnmower,23,,10,6,0.6,16374.241846090694,2729.0403076817825,459,0.09400000000096043,0
Lawnmower,24,,12,6,0.5,39860.88830947996,6643.481384913327,705,0.17199999999866122,0
Lawnmower,25,,13,7,0.5384615384615384,42285.410630730345,6040.772947247192,502,0.0930000000007567,0
Lawnmower,26,,16,4,0.25,54732.90572707135,13683.226431767838,559,0.11000000000058208,0
Lawnmower,27,,10,6,0.6,22231.584182286442,3705.2640303810736,531,0.10899999999855936,0
Lawnmower,28,,14,4,0.2857142857142857,50099.94931455991,12524.987328639978,620,0.11000000000058208,0
Lawnmower,29,,16,8,0.5,44866.540423183025,5608.317552897878,570,0.0930000000007567,0
Lawnmower,30,,10,5,0.5,37180.60395296068,7436.120790592136,570,0.10999999999876309,0
RandomWaypoints,1,,13,4,0.3076923076923077,60018.29179474857,15004.572948687142,695,0.15600000000085856,0
RandomWaypoints,2,,15,10,0.6666666666666666,47647.07534417713,4764.707534417713,610,0.125,0
RandomWaypoints,3,,15,13,0.8666666666666667,40947.110744864265,3149.7777496049434,1182,0.3279999999995198,0
RandomWaypoints,4,,15,10,0.6666666666666666,49177.913047526796,4917.79130475268,679,0.125,0
RandomWaypoints,5,,14,5,0.35714285714285715,60152.48417361538,12030.496834723077,569,0.09400000000096043,0
RandomWaypoints,6,,13,4,0.3076923076923077,59756.2463401235,14939.061585030875,773,0.13999999999941792,0
RandomWaypoints,7,,16,7,0.4375,60084.47013465949,8583.495733522785,692,0.125,0
RandomWaypoints,8,,15,3,0.2,61864.17467417483,20621.391558058276,679,0.1569999999992433,0
RandomWaypoints,9,,12,11,0.9166666666666666,29821.83405877818,2711.075823525289,759,0.18699999999989814,0
RandomWaypoints,10,,15,1,0.06666666666666667,60047.70373521973,60047.70373521973,508,0.07800000000133878,0
RandomWaypoints,11,,10,10,1.0,17619.401402944553,1761.9401402944554,574,0.14099999999962165,1
RandomWaypoints,12,,14,9,0.6428571428571429,55637.140034261014,6181.904448251224,951,0.2029999999995198,0
RandomWaypoints,13,,16,10,0.625,55874.693249199634,5587.469324919964,842,0.1720000000004802,0
RandomWaypoints,14,,11,6,0.5454545454545454,48059.45085941934,8009.90847656989,645,0.13999999999941792,0
RandomWaypoints,15,,16,9,0.5625,57826.115235792495,6425.123915088055,723,0.15600000000085856,0
RandomWaypoints,16,,13,10,0.7692307692307693,29590.100609425193,2959.0100609425194,556,0.11000000000058208,0
RandomWaypoints,17,,15,6,0.4,60965.8423865264,10160.973731087734,645,0.10899999999855936,0
RandomWaypoints,18,,16,9,0.5625,54221.4289088534,6024.603212094822,705,0.15600000000085856,0
RandomWaypoints,19,,14,10,0.7142857142857143,45121.92532532869,4512.192532532868,597,0.09399999999914144,0
RandomWaypoints,20,,16,8,0.5,60389.30034798461,7548.662543498076,756,0.14100000000144064,0
RandomWaypoints,21,,12,6,0.5,57773.83902638978,9628.973171064963,766,0.15599999999903957,0
RandomWaypoints,22,,15,4,0.26666666666666666,60052.97507597007,15013.243768992517,744,0.15600000000085856,0
RandomWaypoints,23,,10,5,0.5,53076.06544227282,10615.213088454564,704,0.10900000000037835,0
RandomWaypoints,24,,12,12,1.0,17156.811136327284,1429.734261360607,525,0.09399999999914144,1
RandomWaypoints,25,,13,2,0.15384615384615385,62731.49775627859,31365.748878139297,538,0.07800000000133878,0
RandomWaypoints,26,,16,0,0.0,60100.84159544463,nan,574,0.09399999999914144,0
RandomWaypoints,27,,10,2,0.2,60415.27130485129,30207.635652425644,512,0.07799999999951979,0
RandomWaypoints,28,,14,9,0.6428571428571429,53446.96882236851,5938.5520913742785,703,0.1400000000012369,0
RandomWaypoints,29,,16,10,0.625,60003.19588902106,6000.319588902106,748,0.14099999999962165,0
RandomWaypoints,30,,10,4,0.4,60195.66825902909,15048.917064757272,703,0.14099999999962165,0
