strategy,seed,error,n_sources,n_cleared,clear_ratio,virtual_time_s,avg_locate_clear_time_s,n_actions,wall_s,certified
Ours,1,,13,13,1.0,4677.6224661082115,359.8171127775547,163,0.28100000000085856,1
Ours,2,,15,15,1.0,4632.703373459522,308.8468915639681,166,0.030999999999039574,1
Ours,3,,15,15,1.0,4697.211994439334,313.1474662959556,173,0.031000000000858563,1
Ours,4,,15,15,1.0,4484.14726911141,298.943151274094,170,0.04700000000048021,1
Ours,5,,14,14,1.0,4830.501371975044,345.0358122839317,172,0.0319999999992433,1
Ours,6,,13,13,1.0,4348.221820864435,334.47860160495657,175,0.031000000000858563,1
Ours,7,,16,16,1.0,5264.415501840157,329.0259688650098,179,0.046999999998661224,1
Ours,8,,15,15,1.0,4378.624446495175,291.9082964330117,171,0.015000000001236913,1
Ours,9,,12,12,1.0,4399.3629619871745,366.61358016559785,165,0.0319999999992433,1
Ours,10,,15,15,1.0,4832.029098926053,322.13527326173687,178,0.046000000000276486,1
Ours,11,,10,10,1.0,3845.4044466055116,384.54044466055115,159,0.01599999999962165,1
Ours,12,,14,14,1.0,4914.088047342083,351.00628909586305,176,0.04700000000048021,1
Ours,13,,16,16,1.0,5480.724724384148,342.5452952740093,187,0.030999999999039574,1
Ours,14,,11,11,1.0,4371.680419243319,397.42549265848356,162,0.031000000000858563,1
Ours,15,,16,16,1.0,5049.636744529708,315.60229653310677,174,0.0319999999992433,1
Ours,16,,13,13,1.0,4713.83456910235,362.6026591617192,181,0.031000000000858563,1
Ours,17,,15,15,1.0,4435.0541073732575,295.67027382488385,175,0.030999999999039574,1
Ours,18,,16,16,1.0,4979.564349016981,311.22277181356134,173,0.04700000000048021,1
Ours,19,,14,14,1.0,4412.099232935891,315.1499452097065,174,0.031000000000858563,1
Ours,20,,16,16,1.0,4467.694983223691,279.2309364514807,167,0.0319999999992433,1
Ours,21,,12,12,1.0,4317.157603939641,359.7631336616368,171,0.031000000000858563,1
Ours,22,,15,15,1.0,5089.332334686446,339.2888223124298,174,0.030999999999039574,1
Ours,23,,10,10,1.0,4104.031488981056,410.4031488981056,162,0.031000000000858563,1
Ours,24,,12,12,1.0,4833.816555104832,402.81804625873605,164,0.0319999999992433,1
Ours,25,,13,13,1.0,4392.250516996227,337.86542438432514,170,0.014999999999417923,1
Ours,26,,16,16,1.0,5080.534600805711,317.53341255035696,183,0.04700000000048021,1
Ours,27,,10,10,1.0,4187.030488884093,418.7030488884093,170,0.031000000000858563,1
Ours,28,,14,14,1.0,5096.291646848714,364.0208319177653,176,0.0319999999992433,1
Ours,29,,16,16,1.0,4998.990609267797,312.4369130792373,177,0.031000000000858563,1
Ours,30,,10,10,1.0,3801.422071105155,380.14220711051547,157,0.030999999999039574,1
HomingOnly,1,,13,8,0.6153846153846154,60036.612023017406,7504.576502877176,2591,0.2970000000004802,0
HomingOnly,2,,15,10,0.6666666666666666,60001.246779876856,6000.124677987686,1694,0.2029999999995198,0
HomingOnly,3,,15,0,0.0,57363.94507051195,nan,3000,0.2970000000004802,0
HomingOnly,4,,15,7,0.4666666666666667,60029.27942837948,8575.611346911353,1658,0.2029999999995198,0
HomingOnly,5,,14,4,0.2857142857142857,58789.619129451065,14697.404782362766,3000,0.3279999999995198,0
HomingOnly,6,,13,6,0.46153846153846156,42372.375,7062.0625,3000,0.3440000000009604,0
HomingOnly,7,,16,1,0.0625,60006.37660755723,60006.37660755723,2612,0.39099999999962165,0
HomingOnly,8,,15,2,0.13333333333333333,60031.1922659684,30015.5961329842,2838,0.43699999999989814,0
HomingOnly,9,,12,4,0.3333333333333333,40030.77430373482,10007.693575933705,3000,0.40600000000085856,0
HomingOnly,10,,15,2,0.13333333333333333,60003.880544365435,30001.940272182717,1725,0.25,0
HomingOnly,11,,10,3,0.3,38250.445108190266,12750.148369396755,3000,0.4529999999995198,0
HomingOnly,12,,14,0,0.0,57383.57280069806,nan,3000,0.46899999999914144,0
HomingOnly,13,,16,9,0.5625,60106.2735261458,6678.4748362384225,2621,0.40600000000085856,0
HomingOnly,14,,11,1,0.09090909090909091,60003.49694942545,60003.49694942545,2438,0.375,0
HomingOnly,15,,16,6,0.375,42904.235410627254,7150.705901771209,3000,0.4850000000005821,0
HomingOnly,16,,13,8,0.6153846153846154,46425.47130357216,5803.18391294652,3000,0.4219999999986612,0
HomingOnly,17,,15,2,0.13333333333333333,60001.57972823471,30000.789864117356,2034,0.3280000000013388,0
HomingOnly,18,,16,3,0.1875,52014.925423789595,17338.30847459653,3000,0.48399999999855936,0
HomingOnly,19,,14,0,0.0,60083.54871527612,nan,2520,0.375,0
