seed,n_sources,n_cleared,clear_ratio,virtual_time_s,avg_locate_clear_time_s,real_elapsed_s,program_run_time_s,n_measure,n_clear_ok,n_clear_fail,n_switch,n_actions,n_requests,census_points_visited,ended_reason,unresolved,proven_empty,action_log_size,wall_s
1,13,13,1.0,9190.273619409203,706.9441245699387,0.3279999999995198,0.3279999999995198,525,13,0,505,538,540,25,user_exit,,3 9 12 13 18 19 20,540,0.3279999999995198
2,15,15,1.0,9239.45539059693,615.963692706462,0.031000000000858563,0.031000000000858563,519,15,3,505,537,539,25,user_exit,,6 7 8 10 11,539,0.031000000000858563
3,15,15,1.0,9029.948338351438,601.9965558900959,0.030999999999039574,0.030999999999039574,523,15,1,505,539,541,25,user_exit,,3 12 15 19 20,541,0.030999999999039574
4,15,15,1.0,9141.69938976367,609.4466259842446,0.031000000000858563,0.031000000000858563,512,15,0,502,527,529,25,user_exit,,2 3 8 19 20,529,0.031000000000858563
5,14,14,1.0,9228.826387016703,659.2018847869074,0.04700000000048021,0.04700000000048021,524,14,0,504,538,540,25,user_exit,,2 9 10 13 17 20,540,0.04700000000048021
6,13,13,1.0,8634.813642129127,664.2164340099329,0.0319999999992433,0.0319999999992433,506,13,0,502,519,521,25,user_exit,,1 2 3 8 10 15 20,521,0.0319999999992433
7,16,16,1.0,8689.276119672473,543.0797574795296,0.046000000000276486,0.046000000000276486,524,16,0,505,540,542,25,user_exit,,2 6 11 12,542,0.046000000000276486
8,15,15,1.0,8722.074930343686,581.4716620229124,0.0319999999992433,0.0319999999992433,508,15,0,502,523,525,25,user_exit,,3 5 6 12 15,525,0.0319999999992433
9,12,12,1.0,8389.214582889352,699.1012152407793,0.031000000000858563,0.031000000000858563,507,12,1,502,520,522,25,user_exit,,1 3 5 6 7 9 15 16,522,0.031000000000858563
10,15,15,1.0,9160.95842606696,610.7305617377973,0.04700000000048021,0.04700000000048021,515,15,0,504,530,532,25,user_exit,,1 4 5 15 20,532,0.04700000000048021
11,10,10,1.0,8439.345587389349,843.9345587389349,0.030999999999039574,0.030999999999039574,509,10,0,502,519,521,25,user_exit,,4 5 6 8 11 13 14 16 17 19,521,0.030999999999039574
12,14,14,1.0,9100.66094740968,650.0472105292629,0.031000000000858563,0.031000000000858563,507,14,0,501,521,523,25,user_exit,,5 7 10 11 15 17,523,0.031000000000858563
13,16,16,1.0,9366.628351335308,585.4142719584568,0.046999999998661224,0.046999999998661224,528,16,2,505,546,548,25,user_exit,,4 9 13 20,548,0.046999999998661224
14,11,11,1.0,8343.465106592574,758.4968278720521,0.031000000000858563,0.031000000000858563,519,11,1,504,531,533,25,user_exit,,1 3 7 13 15 16 18 19 20,533,0.031000000000858563
15,16,16,1.0,8754.66316754675,547.1664479716719,0.0319999999992433,0.0319999999992433,503,16,0,501,519,521,25,user_exit,,10 11 17 19,521,0.0319999999992433
16,13,13,1.0,9056.825948195255,696.6789190919427,0.04700000000048021,0.04700000000048021,511,13,0,504,524,526,25,user_exit,,3 4 11 12 13 15 19,526,0.04700000000048021
17,15,15,1.0,8637.178968898428,575.8119312598952,0.031000000000858563,0.031000000000858563,506,15,0,503,521,523,25,user_exit,,3 11 14 15 18,523,0.031000000000858563
18,16,16,1.0,9508.472621746336,594.279538859146,0.046999999998661224,0.046999999998661224,527,16,0,507,543,545,25,user_exit,,5 15 17 18,545,0.046999999998661224
19,14,14,1.0,8737.584087030387,624.1131490735991,0.031000000000858563,0.031000000000858563,503,14,0,502,517,519,25,user_exit,,2 6 10 14 17 19,519,0.031000000000858563
20,16,16,1.0,8611.383646530297,538.2114779081436,0.04700000000048021,0.04700000000048021,506,16,0,503,522,524,25,user_exit,,7 10 14 16,524,0.04700000000048021
21,12,12,1.0,9084.266866419955,757.0222388683296,0.030999999999039574,0.030999999999039574,507,12,0,500,519,521,25,user_exit,,1 3 9 13 14 15 17 18,521,0.030999999999039574
22,15,15,1.0,8357.1049171677,557.14032781118,0.031000000000858563,0.031000000000858563,515,15,0,504,530,532,25,user_exit,,4 10 12 14 20,532,0.031000000000858563
23,10,10,1.0,7996.60532915815,799.660532915815,0.030999999999039574,0.030999999999039574,511,10,0,504,521,523,25,user_exit,,1 5 7 11 12 15 16 18 19 20,523,0.030999999999039574
24,12,12,1.0,8664.046416850731,722.0038680708943,0.031000000000858563,0.031000000000858563,511,12,2,502,525,527,25,user_exit,,1 4 6 9 14 16 18 20,527,0.031000000000858563
25,13,13,1.0,8525.5274973759,655.8098074904539,0.0319999999992433,0.0319999999992433,509,13,0,503,522,524,25,user_exit,,7 9 10 14 17 18 19,524,0.0319999999992433
26,16,16,1.0,8913.529153949245,557.0955721218278,0.04700000000048021,0.04700000000048021,518,16,0,504,534,536,25,user_exit,,5 6 14 15,536,0.04700000000048021
27,10,10,1.0,8013.418976935235,801.3418976935235,0.031000000000858563,0.031000000000858563,507,10,0,503,517,519,25,user_exit,,1 7 9 11 12 13 15 16 17 20,519,0.031000000000858563
28,14,14,1.0,8792.247170510358,628.0176550364541,0.0319999999992433,0.0319999999992433,521,14,0,504,535,537,25,user_exit,,4 5 12 13 16 18,537,0.0319999999992433
29,16,16,1.0,9092.176141629487,568.2610088518429,0.04700000000048021,0.04700000000048021,518,16,0,506,534,536,25,user_exit,,6 9 11 19,536,0.04700000000048021
30,10,10,1.0,8622.367704095781,862.2367704095781,0.031000000000858563,0.031000000000858563,525,10,0,502,535,537,25,user_exit,,1 7 8 9 12 13 16 18 19 20,537,0.031000000000858563
31,13,13,1.0,9153.885327857655,704.1450252198197,0.031000000000858563,0.031000000000858563,514,13,0,502,527,529,25,user_exit,,3 10 13 15 16 17 19,529,0.031000000000858563
32,16,16,1.0,9316.667897773312,582.291743610832,0.046999999998661224,0.046999999998661224,524,16,0,506,540,542,25,user_exit,,2 7 10 20,542,0.046999999998661224
33,16,16,1.0,8836.74775998091,552.2967349988069,0.031000000000858563,0.031000000000858563,507,16,0,504,523,525,25,user_exit,,1 2 5 17,525,0.031000000000858563
34,10,10,1.0,8722.183356974469,872.2183356974468,0.0319999999992433,0.0319999999992433,525,10,0,504,535,537,25,user_exit,,3 5 7 8 9 11 13 15 19 20,537,0.0319999999992433
35,10,10,1.0,8033.83542013903,803.383542013903,0.031000000000858563,0.031000000000858563,503,10,0,501,513,515,25,user_exit,,3 5 7 8 9 12 13 18 19 20,515,0.031000000000858563
36,12,12,1.0,8626.104943151844,718.842078595987,0.030999999999039574,0.030999999999039574,506,12,0,503,518,520,25,user_exit,,1 3 4 8 13 16 19 20,520,0.030999999999039574
37,11,11,1.0,9417.064343430478,856.0967584936799,0.04700000000048021,0.04700000000048021,527,11,0,504,538,540,25,user_exit,,2 3 9 11 13 15 17 18 20,540,0.04700000000048021
38,11,11,1.0,8330.673155511198,757.3339232282907,0.031000000000858563,0.031000000000858563,506,11,0,502,517,519,25,user_exit,,7 9 10 12 13 14 15 18 20,519,0.031000000000858563
39,16,16,1.0,9126.529220760927,570.408076297558,0.046999999998661224,0.046999999998661224,509,16,0,502,525,527,25,user_exit,,1 14 19 20,527,0.046999999998661224
40,13,13,1.0,8282.60541828807,637.123493714467,0.031000000000858563,0.031000000000858563,502,13,0,501,515,517,25,user_exit,,3 4 9 11 15 18 20,517,0.031000000000858563
41,14,14,1.0,9256.80367841287,661.2002627437765,0.04700000000048021,0.04700000000048021,519,14,0,503,533,535,25,user_exit,,1 12 14 15 16 20,535,0.04700000000048021
42,10,10,1.0,8767.860411824988,876.7860411824988,0.0319999999992433,0.0319999999992433,526,10,0,502,536,538,25,user_exit,,1 3 5 10 14 15 16 17 18 20,538,0.0319999999992433
43,13,13,1.0,8541.378797700769,657.0291382846746,0.031000000000858563,0.031000000000858563,506,13,0,501,519,521,25,user_exit,,2 3 8 9 11 18 20,521,0.031000000000858563
44,14,14,1.0,9020.35193677388,644.3108526267058,0.046999999998661224,0.046999999998661224,516,14,0,505,530,532,25,user_exit,,6 9 11 12 14 19,532,0.046999999998661224
45,16,16,1.0,8888.417641949814,555.5261026218634,0.04700000000048021,0.04700000000048021,519,16,0,502,535,537,25,user_exit,,1 2 11 17,537,0.04700000000048021
46,13,13,1.0,8711.83513834452,670.1411644880401,0.031000000000858563,0.031000000000858563,511,13,0,502,524,526,25,user_exit,,5 6 10 11 12 16 17,526,0.031000000000858563
47,10,10,1.0,8480.770648458516,848.0770648458516,0.030999999999039574,0.030999999999039574,513,10,0,504,523,525,25,user_exit,,1 3 4 5 6 11 12 13 16 20,525,0.030999999999039574
48,10,10,1.0,8248.460864411598,824.8460864411597,0.031000000000858563,0.031000000000858563,512,10,0,502,522,524,25,user_exit,,2 3 4 7 9 11 14 16 19 20,524,0.031000000000858563
49,10,10,1.0,8524.338999956166,852.4338999956166,0.0319999999992433,0.0319999999992433,509,10,0,502,519,521,25,user_exit,,2 3 5 7 10 14 15 16 19 20,521,0.0319999999992433
50,15,15,1.0,9147.653816910777,609.8435877940518,0.046000000000276486,0.046000000000276486,523,15,0,506,538,540,25,user_exit,,1 9 13 14 18,540,0.046000000000276486
51,12,12,1.0,8037.620168330546,669.8016806942122,0.04700000000048021,0.04700000000048021,506,12,0,501,518,520,25,user_exit,,1 2 3 6 7 11 12 20,520,0.04700000000048021
52,16,16,1.0,10376.385837546652,648.5241148466657,0.046999999998661224,0.046999999998661224,546,16,0,505,562,564,25,user_exit,,3 11 17 20,564,0.046999999998661224
53,15,15,1.0,8827.496428329528,588.4997618886352,0.031000000000858563,0.031000000000858563,514,15,0,503,529,531,25,user_exit,,3 7 9 10 20,531,0.031000000000858563
54,12,12,1.0,8752.933973663745,729.4111644719787,0.031000000000858563,0.031000000000858563,515,12,0,504,527,529,25,user_exit,,1 5 8 10 11 14 15 16,529,0.031000000000858563
55,16,16,1.0,9327.785748985978,582.9866093116236,0.046999999998661224,0.046999999998661224,524,16,0,508,540,542,25,user_exit,,1 4 10 11,542,0.046999999998661224
56,12,12,1.0,8605.169142923358,717.0974285769465,0.031000000000858563,0.031000000000858563,510,12,0,504,522,524,25,user_exit,,2 3 8 14 15 17 18 19,524,0.031000000000858563
57,10,10,1.0,8413.02309217161,841.302309217161,0.0319999999992433,0.0319999999992433,512,10,1,502,523,525,25,user_exit,,1 2 3 4 9 11 12 14 17 18,525,0.0319999999992433
58,13,13,1.0,9191.812637131727,707.0625105485943,0.031000000000858563,0.031000000000858563,506,13,0,501,519,521,25,user_exit,,1 2 4 5 8 15 20,521,0.031000000000858563
59,15,15,1.0,8832.46688269875,588.8311255132501,0.030999999999039574,0.030999999999039574,516,15,0,505,531,533,25,user_exit,,8 10 12 14 15,533,0.030999999999039574
60,11,11,1.0,8426.224754515284,766.0204322286622,0.030999999999039574,0.030999999999039574,512,11,0,501,523,525,25,user_exit,,2 3 6 7 8 9 10 11 20,525,0.030999999999039574
