grid_cell,n_episodes,full_clear_rate,clear_ratio_mean,clear_ratio_min,avg_time_mean,avg_time_std,avg_time_p50,avg_time_p90,avg_time_max,virtual_time_mean,virtual_time_p90,actions_mean,actions_max,requests_mean,requests_max,wall_total_s,wall_mean_s,unresolved_total,proven_empty_mean,wall_s
5.0,30,1.0,1.0,1.0,346.1354499464873,39.66933336266231,340.03891884515235,402.44475244645963,447.2244600536225,4685.1656640310985,5115.854928598687,170.0,188,172.0,190,4.951999999999316,0.16506666666664388,0,6.266666666666667,5.101739883422852
10.0,30,1.0,1.0,1.0,349.5569367124912,37.366125056132944,340.3799958228664,394.4421268913714,442.95077956896057,4735.45914947312,5198.690758403555,172.1,188,174.1,190,1.2960000000002765,0.04320000000000922,0,6.266666666666667,1.3339824676513672
15.0,30,1.0,1.0,1.0,353.7861539613028,35.58708425070606,343.367295121589,396.24916252302376,453.8573044436209,4796.936395356403,5332.459975617104,175.13333333333333,194,177.13333333333333,196,0.7490000000016153,0.024966666666720507,0,6.266666666666667,0.7966811656951904
20.0,30,1.0,1.0,1.0,357.0444478961969,37.1878055034082,352.8730616608192,403.83533954489565,450.37228320992807,4840.042633579732,5298.365641253376,175.5,189,177.5,191,0.625,0.020833333333333332,0,6.266666666666667,0.6522369384765625
