variant,seed,n_sources,n_cleared,clear_ratio,certified,virtual_time_s,avg_locate_clear_time_s,n_actions,error,wall_s
Full,1,13,13,1.0,1,9160.71541035814,704.6704161813954,538,,0.4069999999992433
Full,2,15,15,1.0,1,9229.209704133616,615.2806469422411,537,,0.031000000000858563
Full,3,15,15,1.0,1,9028.826045977044,601.9217363984696,540,,0.04700000000048021
Full,4,15,15,1.0,1,9168.960414111833,611.2640276074555,529,,0.030999999999039574
Full,5,14,14,1.0,1,9193.408752148298,656.6720537248784,537,,0.04700000000048021
Full,6,13,13,1.0,1,8558.430951338747,658.3408424106728,520,,0.030999999999039574
Full,7,16,16,1.0,1,8688.459182878842,543.0286989299276,542,,0.031000000000858563
Full,8,15,15,1.0,1,8768.435817722675,584.5623878481783,528,,0.04700000000048021
Full,9,12,12,1.0,1,8395.290430897408,699.6075359081174,522,,0.0319999999992433
Full,10,15,15,1.0,1,9138.596531804784,609.2397687869856,532,,0.031000000000858563
Full,11,10,10,1.0,1,8412.683422140664,841.2683422140665,518,,0.030999999999039574
Full,12,14,14,1.0,1,9078.268639922017,648.4477599944297,520,,0.04700000000048021
Full,13,16,16,1.0,1,9274.921976183505,579.682623511469,540,,0.030999999999039574
Full,14,11,11,1.0,1,8205.247197257064,745.9315633870058,522,,0.031000000000858563
Full,15,16,16,1.0,1,8766.859681686547,547.9287301054092,521,,0.0319999999992433
A4-ring-net,1,13,13,1.0,0,52114.3116607831,4008.793204675623,725,,14.42200000000048
A4-ring-net,2,15,15,1.0,0,44787.1006973881,2985.8067131592065,684,,11.109000000000378
A4-ring-net,3,15,15,1.0,0,51374.30594755063,3424.9537298367086,733,,12.67200000000048
A4-ring-net,4,15,15,1.0,0,40466.08038972519,2697.738692648346,624,,11.171999999998661
A4-ring-net,5,14,14,1.0,0,48397.65324875311,3456.975232053793,717,,12.5
A4-ring-net,6,13,13,1.0,0,55456.12119649997,4265.855476653844,759,,14.0
A4-ring-net,7,16,16,1.0,0,31695.139474713316,1980.9462171695823,498,,7.67200000000048
A4-ring-net,8,15,15,1.0,0,45073.852681150136,3004.9235120766757,666,,10.656000000000859
A4-ring-net,9,12,12,1.0,0,54018.30797671423,4501.525664726186,758,,14.375
A4-ring-net,10,15,15,1.0,0,45079.42946569075,3005.2952977127165,686,,10.593999999999141
A4-ring-net,11,10,10,1.0,0,60036.41476397892,6003.641476397892,805,,16.061999999999898
A4-ring-net,12,14,14,1.0,0,44906.07913212949,3207.577080866392,651,,10.82799999999952
A4-ring-net,13,16,15,0.9375,0,35537.94232208985,2369.1961548059903,566,,9.453000000001339
A4-ring-net,14,11,11,1.0,0,60365.72197459094,5487.792906780995,788,,16.359999999998763
A4-ring-net,15,16,16,1.0,0,42134.07552109613,2633.379720068508,664,,10.343999999999141
A1-no-feasible,1,13,7,0.5384615384615384,0,8130.8828483364005,1161.5546926194859,507,,0.031000000000858563
A1-no-feasible,2,15,10,0.6666666666666666,0,8724.244357000172,872.4244357000173,513,,0.046999999998661224
A1-no-feasible,3,15,9,0.6,0,8432.591011075241,936.9545567861379,509,,0.04700000000048021
A1-no-feasible,4,15,13,0.8666666666666667,0,8609.523795688148,662.2710612067806,515,,0.031000000000858563
A1-no-feasible,5,14,9,0.6428571428571429,0,8246.772555098642,916.3080616776268,509,,0.046999999998661224
A1-no-feasible,6,13,10,0.7692307692307693,0,8252.12017389424,825.212017389424,510,,0.031000000000858563
A1-no-feasible,7,16,11,0.6875,0,8024.029329302896,729.4572117548088,514,,0.04700000000048021
A1-no-feasible,8,15,12,0.8,0,8233.346841963754,686.1122368303128,512,,0.0319999999992433
A1-no-feasible,9,12,9,0.75,0,8101.407552992038,900.1563947768932,509,,0.046000000000276486
A1-no-feasible,10,15,10,0.6666666666666666,0,8300.577687282803,830.0577687282803,510,,0.04700000000048021
A1-no-feasible,11,10,7,0.7,0,7995.545163409649,1142.2207376299498,507,,0.01599999999962165
A1-no-feasible,12,14,12,0.8571428571428571,0,8615.532159635644,717.9610133029704,512,,0.046000000000276486
A1-no-feasible,13,16,11,0.6875,0,9115.802524324423,828.7093203931294,528,,0.06300000000010186
A1-no-feasible,14,11,6,0.5454545454545454,0,7636.570066521026,1272.7616777535043,506,,0.030999999999039574
A1-no-feasible,15,16,14,0.875,0,8215.262028947041,586.8044306390744,514,,0.04700000000048021
A2-no-mec,1,13,9,0.6923076923076923,0,30903.211848512314,3433.6902053902572,1252,,0.10900000000037835
A2-no-mec,2,15,13,0.8666666666666667,0,21087.863673417898,1622.1433594936846,942,,0.06300000000010186
A2-no-mec,3,15,9,0.6,0,38268.89260750459,4252.099178611621,1421,,0.14099999999962165
A2-no-mec,4,15,10,0.6666666666666666,0,31070.09432867729,3107.0094328677287,1286,,0.10900000000037835
A2-no-mec,5,14,10,0.7142857142857143,0,24261.617644768623,2426.161764476862,1039,,0.07799999999951979
A2-no-mec,6,13,11,0.8461538461538461,0,17713.019822473834,1610.2745293158032,837,,0.09400000000096043
A2-no-mec,7,16,11,0.6875,0,31126.248145839105,2829.6589223490096,1279,,0.09399999999914144
A2-no-mec,8,15,8,0.5333333333333333,0,36635.255062701086,4579.406882837636,1429,,0.10900000000037835
A2-no-mec,9,12,8,0.6666666666666666,0,22722.358488980986,2840.2948111226233,1022,,0.10900000000037835
A2-no-mec,10,15,9,0.6,0,33401.5068868037,3711.278542978189,1338,,0.125
A2-no-mec,11,10,7,0.7,0,19417.463111552,2773.9233016502853,902,,0.07799999999951979
A2-no-mec,12,14,9,0.6428571428571429,0,35219.31595533041,3913.2573283700453,1367,,0.11000000000058208
A2-no-mec,13,16,9,0.5625,0,37105.58006173408,4122.842229081564,1443,,0.125
A2-no-mec,14,11,6,0.5454545454545454,0,26577.056537636614,4429.509422939435,1143,,0.09399999999914144
A2-no-mec,15,16,12,0.75,0,28984.775788974293,2415.3979824145244,1208,,0.07799999999951979
A3-no-certify,1,13,13,1.0,0,50250.72910607804,3865.440700467542,979,,11.57799999999952
A3-no-certify,2,15,15,1.0,0,37970.305115731535,2531.3536743821023,850,,8.688000000000102
A3-no-certify,3,15,15,1.0,0,37133.822667193155,2475.588177812877,854,,8.79700000000048
A3-no-certify,4,15,15,1.0,0,37330.662632264066,2488.710842150938,839,,8.546999999998661
A3-no-certify,5,14,14,1.0,0,43317.49043472522,3094.1064596232304,908,,10.311999999999898
A3-no-certify,6,13,13,1.0,0,49700.273441200516,3823.097957015424,958,,11.718999999999141
A3-no-certify,7,16,16,1.0,0,31581.096223992452,1973.8185139995282,794,,6.514999999999418
A3-no-certify,8,15,15,1.0,0,36136.284741336036,2409.085649422402,837,,8.218999999999141
A3-no-certify,9,12,12,1.0,0,54455.66585365789,4537.972154471491,1023,,13.609000000000378
A3-no-certify,10,15,15,1.0,0,37637.18084710107,2509.1453898067384,841,,9.015999999999622
A3-no-certify,11,10,10,1.0,0,60053.6317149279,6005.36317149279,1096,,15.718000000000757
