variant,seed,n_sources,n_cleared,clear_ratio,certified,virtual_time_s,avg_locate_clear_time_s,n_actions,error,wall_s
A3-no-certify,12,14,14,1.0,0,43384.01133501054,3098.8579525007526,898,,9.859999999998763
A3-no-certify,13,16,16,1.0,0,31787.63334548863,1986.7270840930394,794,,6.875
A3-no-certify,14,11,11,1.0,0,60050.71555534245,5459.155959576587,1070,,14.515000000001237
A3-no-certify,15,16,16,1.0,0,31345.672817325605,1959.1045510828503,772,,6.671999999998661
A5-no-probe,1,13,13,1.0,1,8980.925643456085,690.8404341120065,526,,0.04700000000048021
A5-no-probe,2,15,15,1.0,1,9093.158583189155,606.2105722126104,527,,0.06300000000010186
A5-no-probe,3,15,15,1.0,1,8879.099153337602,591.9399435558402,530,,0.046000000000276486
A5-no-probe,4,15,15,1.0,1,9043.850162350052,602.9233441566702,522,,0.04700000000048021
A5-no-probe,5,14,13,0.9285714285714286,0,9170.66680159839,705.4359078152609,538,,0.030999999999039574
A5-no-probe,6,13,13,1.0,1,8522.7862899126,655.5989453778923,517,,0.04700000000048021
A5-no-probe,7,16,16,1.0,1,8465.671873262521,529.1044920789076,527,,0.06300000000010186
A5-no-probe,8,15,15,1.0,1,8671.57468580057,578.1049790533713,522,,0.046000000000276486
A5-no-probe,9,12,12,1.0,1,8342.66494973011,695.2220791441758,518,,0.0319999999992433
A5-no-probe,10,15,15,1.0,1,9039.490704003818,602.6327136002545,525,,0.046999999998661224
A5-no-probe,11,10,10,1.0,1,8365.499187977744,836.5499187977745,515,,0.031000000000858563
A5-no-probe,12,14,14,1.0,1,9049.878701350195,646.4199072392996,518,,0.04700000000048021
A5-no-probe,13,16,16,1.0,1,9121.203061376302,570.0751913360189,529,,0.06300000000010186
A5-no-probe,14,11,11,1.0,1,8126.735811308419,738.7941646644017,517,,0.046999999998661224
A5-no-probe,15,16,16,1.0,1,8750.270657274694,546.8919160796684,520,,0.04700000000048021
A6-no-sweep,1,13,12,0.9230769230769231,0,9237.462953611373,769.7885794676145,538,,0.06199999999989814
A6-no-sweep,2,15,14,0.9333333333333333,0,9271.050506963715,662.217893354551,534,,0.07799999999951979
A6-no-sweep,3,15,15,1.0,1,9226.950816172048,615.1300544114698,540,,0.04700000000048021
A6-no-sweep,4,15,15,1.0,1,9168.960414111833,611.2640276074555,529,,0.04700000000048021
A6-no-sweep,5,14,14,1.0,1,9193.408752148298,656.6720537248784,537,,0.06199999999989814
A6-no-sweep,6,13,13,1.0,1,8558.430951338747,658.3408424106728,520,,0.04700000000048021
A6-no-sweep,7,16,16,1.0,1,8688.459182878842,543.0286989299276,542,,0.046000000000276486
A6-no-sweep,8,15,15,1.0,1,8768.435817722675,584.5623878481783,528,,0.031000000000858563
A6-no-sweep,9,12,11,0.9166666666666666,0,8378.319868148932,761.6654425589938,520,,0.06199999999989814
A6-no-sweep,10,15,15,1.0,1,9138.596531804784,609.2397687869856,532,,0.04700000000048021
A6-no-sweep,11,10,10,1.0,1,8412.683422140664,841.2683422140665,518,,0.046999999998661224
A6-no-sweep,12,14,14,1.0,1,9078.268639922017,648.4477599944297,520,,0.04700000000048021
A6-no-sweep,13,16,15,0.9375,0,9328.253143490856,621.8835428993904,538,,0.125
A6-no-sweep,14,11,11,1.0,1,8205.247197257064,745.9315633870058,522,,0.031000000000858563
A6-no-sweep,15,16,16,1.0,1,8766.859681686547,547.9287301054092,521,,0.046999999998661224
