gamma_deg,r_m,diam_m,diam_over_r
77.5,1450.0,80.9103,0.05580
77.5,1500.0,83.7003,0.05580
80.0,200.0,10.8668,0.05433
80.0,250.0,13.5835,0.05433
80.0,300.0,16.3002,0.05433
80.0,350.0,19.0169,0.05433
80.0,400.0,21.7336,0.05433
80.0,450.0,24.4503,0.05433
80.0,500.0,27.1670,0.05433
80.0,550.0,29.8837,0.05433
80.0,600.0,32.6004,0.05433
80.0,650.0,35.3171,0.05433
80.0,700.0,38.0338,0.05433
80.0,750.0,40.7505,0.05433
80.0,800.0,43.4672,0.05433
80.0,850.0,46.1839,0.05433
80.0,900.0,48.9006,0.05433
80.0,950.0,51.6173,0.05433
80.0,1000.0,54.3340,0.05433
80.0,1050.0,57.0507,0.05433
80.0,1100.0,59.7674,0.05433
80.0,1150.0,62.4841,0.05433
80.0,1200.0,65.2008,0.05433
80.0,1250.0,67.9175,0.05433
80.0,1300.0,70.6342,0.05433
80.0,1350.0,73.3509,0.05433
80.0,1400.0,76.0676,0.05433
80.0,1450.0,78.7843,0.05433
80.0,1500.0,81.5010,0.05433
82.5,200.0,10.5935,0.05297
82.5,250.0,13.2419,0.05297
82.5,300.0,15.8903,0.05297
82.5,350.0,18.5387,0.05297
82.5,400.0,21.1870,0.05297
82.5,450.0,23.8354,0.05297
82.5,500.0,26.4838,0.05297
82.5,550.0,29.1322,0.05297
82.5,600.0,31.7806,0.05297
82.5,650.0,34.4289,0.05297
82.5,700.0,37.0773,0.05297
82.5,750.0,39.7257,0.05297
82.5,800.0,42.3741,0.05297
82.5,850.0,45.0225,0.05297
82.5,900.0,47.6708,0.05297
82.5,950.0,50.3192,0.05297
82.5,1000.0,52.9676,0.05297
82.5,1050.0,55.6160,0.05297
82.5,1100.0,58.2644,0.05297
82.5,1150.0,60.9127,0.05297
82.5,1200.0,63.5611,0.05297
82.5,1250.0,66.2095,0.05297
82.5,1300.0,68.8579,0.05297
82.5,1350.0,71.5063,0.05297
82.5,1400.0,74.1546,0.05297
82.5,1450.0,76.8030,0.05297
82.5,1500.0,79.4514,0.05297
85.0,200.0,10.3385,0.05169
85.0,250.0,12.9231,0.05169
85.0,300.0,15.5077,0.05169
85.0,350.0,18.0923,0.05169
85.0,400.0,20.6769,0.05169
85.0,450.0,23.2615,0.05169
85.0,500.0,25.8461,0.05169
85.0,550.0,28.4308,0.05169
85.0,600.0,31.0154,0.05169
85.0,650.0,33.6000,0.05169
85.0,700.0,36.1846,0.05169
85.0,750.0,38.7692,0.05169
85.0,800.0,41.3538,0.05169
85.0,850.0,43.9384,0.05169
85.0,900.0,46.5231,0.05169
85.0,950.0,49.1077,0.05169
85.0,1000.0,51.6923,0.05169
85.0,1050.0,54.2769,0.05169
85.0,1100.0,56.8615,0.05169
85.0,1150.0,59.4461,0.05169
85.0,1200.0,62.0307,0.05169
85.0,1250.0,64.6154,0.05169
85.0,1300.0,67.2000,0.05169
85.0,1350.0,69.7846,0.05169
85.0,1400.0,72.3692,0.05169
85.0,1450.0,74.9538,0.05169
85.0,1500.0,77.5384,0.05169
87.5,200.0,10.1001,0.05050
87.5,250.0,12.6251,0.05050
87.5,300.0,15.1501,0.05050
87.5,350.0,17.6752,0.05050
87.5,400.0,20.2002,0.05050
87.5,450.0,22.7252,0.05050
87.5,500.0,25.2502,0.05050
87.5,550.0,27.7753,0.05050
87.5,600.0,30.3003,0.05050
87.5,650.0,32.8253,0.05050
87.5,700.0,35.3503,0.05050
87.5,750.0,37.8754,0.05050
87.5,800.0,40.4004,0.05050
87.5,850.0,42.9254,0.05050
87.5,900.0,45.4504,0.05050
87.5,950.0,47.9755,0.05050
87.5,1000.0,50.5005,0.05050
87.5,1050.0,53.0255,0.05050
87.5,1100.0,55.5505,0.05050
87.5,1150.0,58.0756,0.05050
87.5,1200.0,60.6006,0.05050
87.5,1250.0,63.1256,0.05050
87.5,1300.0,65.6506,0.05050
87.5,1350.0,68.1756,0.05050
87.5,1400.0,70.7007,0.05050
87.5,1450.0,73.2257,0.05050
87.5,1500.0,75.7507,0.05050
90.0,200.0,9.8771,0.04939
90.0,250.0,12.3464,0.04939
90.0,300.0,14.8156,0.04939
90.0,350.0,17.2849,0.04939
90.0,400.0,19.7542,0.04939
90.0,450.0,22.2234,0.04939
90.0,500.0,24.6927,0.04939
90.0,550.0,27.1620,0.04939
90.0,600.0,29.6313,0.04939
90.0,650.0,32.1005,0.04939
90.0,700.0,34.5698,0.04939
90.0,750.0,37.0391,0.04939
90.0,800.0,39.5083,0.04939
90.0,850.0,41.9776,0.04939
90.0,900.0,44.4469,0.04939
90.0,950.0,46.9162,0.04939
90.0,1000.0,49.3854,0.04939
90.0,1050.0,51.8547,0.04939
90.0,1100.0,54.3240,0.04939
90.0,1150.0,56.7932,0.04939
90.0,1200.0,59.2625,0.04939
90.0,1250.0,61.7318,0.04939
90.0,1300.0,64.2011,0.04939
90.0,1350.0,66.6703,0.04939
90.0,1400.0,69.1396,0.04939
90.0,1450.0,71.6089,0.04939
90.0,1500.0,74.0781,0.04939
