census_ring_n,n_episodes,full_clear_rate,clear_ratio_mean,clear_ratio_min,avg_time_mean,avg_time_std,avg_time_p50,avg_time_p90,avg_time_max,virtual_time_mean,virtual_time_p90,actions_mean,actions_max,requests_mean,requests_max,wall_total_s,wall_mean_s,unresolved_total,proven_empty_mean,wall_s
5.0,30,1.0,1.0,1.0,1374.4142075778288,545.9415112758618,1208.8449499192357,2450.7408965474833,2508.7499288702693,17785.15209466599,24507.40896547483,200.33333333333334,218,202.33333333333334,220,5.219999999999345,0.17399999999997817,0,6.266666666666667,5.286665439605713
6.0,30,1.0,1.0,1.0,349.5569367124912,37.366125056132944,340.3799958228664,394.4421268913714,442.95077956896057,4735.45914947312,5198.690758403555,172.1,188,174.1,190,1.3439999999991414,0.044799999999971384,0,6.266666666666667,1.3946263790130615
7.0,30,1.0,1.0,1.0,348.7886809082187,44.37180803116578,333.91821683267335,421.27366169889166,446.0293159314974,4709.3787204408545,5161.508304661362,185.06666666666666,205,187.06666666666666,207,1.374999999998181,0.0458333333332727,0,6.266666666666667,1.414090633392334
8.0,30,1.0,1.0,1.0,354.84999125146544,41.995361086140875,341.2193652525233,424.63254071580036,443.9881036268471,4795.185387873126,5151.033792571251,200.26666666666668,212,202.26666666666668,214,1.4369999999998981,0.047899999999996605,0,6.266666666666667,1.4745573997497559
