m,r_wl,aperture,k_db,rho,snr_db,duty,n_episodes,n_sources,false_absence,false_absence_rate,cleared_fraction,certified_rate,virtual_time_mean
16,1.2,19.2,7.0,0.44668359215096315,12.0,1.0,20,284,2,0.007042253521126761,0.9929577464788732,0.9,10269.873048036632
16,1.2,19.2,7.0,0.44668359215096315,12.0,0.8,20,284,8,0.028169014084507043,0.9647887323943662,0.6,11665.83977557185
16,1.2,19.2,7.0,0.44668359215096315,12.0,0.6,20,284,19,0.06690140845070422,0.9119718309859155,0.3,13665.650998347972
16,1.2,19.2,7.0,0.44668359215096315,12.0,0.4,20,284,72,0.2535211267605634,0.704225352112676,0.0,16139.640436408346
